,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[27],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[28],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[29],0.157,0.036,0.097,0.23,0.001,0.001,840.0,772.0,1.0
mu[30],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[31],2.441,0.336,1.841,3.111,0.012,0.008,731.0,724.0,1.0
mu[32],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[33],1.102,0.15,0.833,1.428,0.005,0.004,800.0,757.0,1.0
mu[34],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[35],1.033,0.229,0.625,1.51,0.008,0.007,760.0,537.0,1.0
mu[36],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[37],0.976,0.135,0.716,1.244,0.005,0.004,824.0,814.0,1.0
mu[38],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[39],2.033,0.255,1.576,2.55,0.009,0.006,754.0,816.0,1.0
mu[40],0.132,0.028,0.082,0.19,0.001,0.001,784.0,855.0,1.0
mu[41],1.208,0.204,0.818,1.617,0.007,0.006,751.0,735.0,1.0
mu[42],2.295,0.292,1.798,2.886,0.011,0.008,740.0,704.0,1.0
mu[43],0.159,0.035,0.092,0.226,0.001,0.001,788.0,774.0,1.0
mu[44],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[45],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[46],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[47],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[48],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[49],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[50],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[51],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[52],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[53],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[54],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[55],1.123,0.16,0.828,1.425,0.006,0.005,689.0,736.0,1.0
mu[56],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[57],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[58],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[59],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[60],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[61],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[62],1.164,0.163,0.852,1.517,0.005,0.004,908.0,743.0,1.0
mu[63],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[64],0.159,0.035,0.092,0.226,0.001,0.001,788.0,774.0,1.0
mu[65],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[66],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[67],1.315,0.217,0.898,1.74,0.007,0.007,894.0,683.0,1.0
mu[68],1.373,0.232,0.954,1.805,0.009,0.007,701.0,676.0,1.0
mu[69],0.148,0.031,0.087,0.205,0.001,0.001,857.0,794.0,1.01
mu[70],0.145,0.033,0.088,0.214,0.001,0.001,785.0,772.0,1.0
mu[71],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[72],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[73],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[74],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[75],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[76],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[77],1.102,0.15,0.833,1.428,0.005,0.004,800.0,757.0,1.0
mu[78],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[79],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[80],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[81],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[82],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[83],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[84],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[85],0.882,0.134,0.628,1.137,0.005,0.004,824.0,660.0,1.0
mu[86],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[87],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[88],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[89],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[90],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[91],1.101,0.161,0.818,1.447,0.006,0.004,765.0,701.0,1.0
mu[92],0.149,0.032,0.095,0.213,0.001,0.001,830.0,810.0,1.0
mu[93],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[94],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[95],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[96],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[97],1.102,0.15,0.833,1.428,0.005,0.004,800.0,757.0,1.0
mu[98],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[99],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[100],0.132,0.028,0.082,0.19,0.001,0.001,784.0,855.0,1.0
mu[101],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[102],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[103],2.516,0.401,1.819,3.311,0.015,0.011,755.0,719.0,1.0
mu[104],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[105],1.123,0.16,0.828,1.425,0.006,0.005,689.0,736.0,1.0
mu[106],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[107],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[108],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[109],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[110],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[111],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[112],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[113],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[114],1.207,0.152,0.945,1.54,0.005,0.004,791.0,594.0,1.0
mu[115],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[116],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[117],1.134,0.245,0.705,1.639,0.009,0.008,750.0,644.0,1.0
mu[118],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[119],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[120],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[121],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[122],1.123,0.16,0.828,1.425,0.006,0.005,689.0,736.0,1.0
mu[123],1.032,0.146,0.779,1.327,0.005,0.004,899.0,737.0,1.0
mu[124],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[125],2.226,0.342,1.588,2.929,0.012,0.009,808.0,850.0,1.0
mu[126],0.149,0.032,0.095,0.213,0.001,0.001,830.0,810.0,1.0
mu[127],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[128],0.148,0.031,0.087,0.205,0.001,0.001,857.0,794.0,1.01
mu[129],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[130],0.159,0.035,0.092,0.226,0.001,0.001,788.0,774.0,1.0
mu[131],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[132],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[133],0.967,0.134,0.762,1.278,0.004,0.003,941.0,811.0,1.0
mu[134],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[135],1.164,0.163,0.852,1.517,0.005,0.004,908.0,743.0,1.0
mu[136],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[137],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[138],0.132,0.028,0.082,0.19,0.001,0.001,784.0,855.0,1.0
mu[139],0.139,0.031,0.085,0.203,0.001,0.001,783.0,774.0,1.0
mu[140],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[141],1.134,0.245,0.705,1.639,0.009,0.008,750.0,644.0,1.0
mu[142],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[143],1.092,0.151,0.796,1.39,0.005,0.004,918.0,773.0,1.0
mu[144],1.165,0.188,0.811,1.524,0.007,0.006,767.0,582.0,1.0
mu[145],1.065,0.232,0.629,1.499,0.009,0.006,706.0,658.0,1.0
mu[146],1.207,0.152,0.945,1.54,0.005,0.004,791.0,594.0,1.0
mu[147],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[148],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[149],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[150],1.325,0.195,0.997,1.727,0.007,0.006,834.0,774.0,1.0
mu[151],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[152],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[153],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[154],0.997,0.156,0.683,1.263,0.006,0.004,747.0,752.0,1.0
mu[155],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[156],0.157,0.036,0.097,0.23,0.001,0.001,840.0,772.0,1.0
mu[157],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[158],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[159],0.145,0.033,0.088,0.214,0.001,0.001,785.0,772.0,1.0
mu[160],2.295,0.292,1.798,2.886,0.011,0.008,740.0,704.0,1.0
mu[161],1.207,0.152,0.945,1.54,0.005,0.004,791.0,594.0,1.0
mu[162],0.139,0.031,0.085,0.203,0.001,0.001,783.0,774.0,1.0
mu[163],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[164],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[165],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[166],2.226,0.342,1.588,2.929,0.012,0.009,808.0,850.0,1.0
mu[167],1.032,0.146,0.779,1.327,0.005,0.004,899.0,737.0,1.0
mu[168],0.149,0.032,0.095,0.213,0.001,0.001,830.0,810.0,1.0
mu[169],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[170],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[171],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[172],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[173],1.325,0.195,0.997,1.727,0.007,0.006,834.0,774.0,1.0
mu[174],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[175],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[176],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[177],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[178],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[179],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[180],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[181],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[182],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[183],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[184],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[185],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[186],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[187],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[188],1.253,0.174,0.925,1.578,0.006,0.004,760.0,773.0,1.0
mu[189],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[190],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[191],0.158,0.034,0.099,0.226,0.001,0.001,766.0,782.0,1.01
mu[192],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[193],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[194],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[195],2.149,0.283,1.662,2.775,0.01,0.008,789.0,590.0,1.0
mu[196],2.149,0.283,1.662,2.775,0.01,0.008,789.0,590.0,1.0
mu[197],2.149,0.283,1.662,2.775,0.01,0.008,789.0,590.0,1.0
mu[198],0.14,0.03,0.083,0.198,0.001,0.001,791.0,730.0,1.0
mu[199],2.277,0.306,1.683,2.88,0.01,0.009,860.0,816.0,1.0
mu[200],0.967,0.134,0.762,1.278,0.004,0.003,941.0,811.0,1.0
mu[201],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[202],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[203],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[204],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[205],2.149,0.283,1.662,2.775,0.01,0.008,789.0,590.0,1.0
mu[206],1.167,0.263,0.69,1.685,0.009,0.008,869.0,688.0,1.0
mu[207],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[208],2.226,0.342,1.588,2.929,0.012,0.009,808.0,850.0,1.0
mu[209],0.159,0.035,0.092,0.226,0.001,0.001,788.0,774.0,1.0
mu[210],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[211],1.123,0.16,0.828,1.425,0.006,0.005,689.0,736.0,1.0
mu[212],1.243,0.184,0.899,1.611,0.006,0.005,847.0,700.0,1.0
mu[213],0.976,0.135,0.716,1.244,0.005,0.004,824.0,814.0,1.0
mu[214],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[215],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[216],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[217],0.159,0.035,0.092,0.226,0.001,0.001,788.0,774.0,1.0
mu[218],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[219],2.149,0.283,1.662,2.775,0.01,0.008,789.0,590.0,1.0
mu[220],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[221],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[222],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[223],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[224],2.277,0.306,1.683,2.88,0.01,0.009,860.0,816.0,1.0
mu[225],1.065,0.232,0.629,1.499,0.009,0.006,706.0,658.0,1.0
mu[226],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[227],0.132,0.028,0.082,0.19,0.001,0.001,784.0,855.0,1.0
mu[228],1.092,0.151,0.796,1.39,0.005,0.004,918.0,773.0,1.0
mu[229],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[230],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[231],1.333,0.199,0.955,1.686,0.008,0.006,652.0,688.0,1.01
mu[232],0.976,0.135,0.716,1.244,0.005,0.004,824.0,814.0,1.0
mu[233],2.516,0.401,1.819,3.311,0.015,0.011,755.0,719.0,1.0
mu[234],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[235],1.105,0.25,0.666,1.602,0.009,0.007,860.0,722.0,1.0
mu[236],1.164,0.163,0.852,1.517,0.005,0.004,908.0,743.0,1.0
mu[237],2.016,0.261,1.542,2.526,0.009,0.007,891.0,857.0,1.0
mu[238],0.158,0.034,0.099,0.226,0.001,0.001,766.0,782.0,1.01
mu[239],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[240],1.243,0.184,0.899,1.611,0.006,0.005,847.0,700.0,1.0
mu[241],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[242],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[243],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[244],0.976,0.135,0.716,1.244,0.005,0.004,824.0,814.0,1.0
mu[245],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[246],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[247],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[248],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[249],2.016,0.261,1.542,2.526,0.009,0.007,891.0,857.0,1.0
mu[250],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[251],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[252],1.161,0.281,0.66,1.702,0.01,0.008,766.0,662.0,1.0
mu[253],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[254],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[255],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[256],1.278,0.191,0.893,1.641,0.007,0.005,812.0,577.0,1.0
mu[257],2.295,0.292,1.798,2.886,0.011,0.008,740.0,704.0,1.0
mu[258],0.954,0.14,0.694,1.236,0.005,0.004,779.0,775.0,1.0
mu[259],1.032,0.146,0.779,1.327,0.005,0.004,899.0,737.0,1.0
mu[260],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[261],1.216,0.203,0.818,1.586,0.008,0.007,671.0,705.0,1.01
mu[262],1.207,0.152,0.945,1.54,0.005,0.004,791.0,594.0,1.0
mu[263],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[264],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[265],0.145,0.033,0.088,0.214,0.001,0.001,785.0,772.0,1.0
mu[266],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[267],0.967,0.134,0.762,1.278,0.004,0.003,941.0,811.0,1.0
mu[268],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[269],1.207,0.152,0.945,1.54,0.005,0.004,791.0,594.0,1.0
mu[270],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[271],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[272],1.333,0.199,0.955,1.686,0.008,0.006,652.0,688.0,1.01
mu[273],2.407,0.355,1.727,3.088,0.013,0.009,761.0,816.0,1.0
mu[274],0.159,0.035,0.092,0.226,0.001,0.001,788.0,774.0,1.0
mu[275],1.208,0.204,0.818,1.617,0.007,0.006,751.0,735.0,1.0
mu[276],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[277],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[278],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[279],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[280],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[281],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[282],1.325,0.195,0.997,1.727,0.007,0.006,834.0,774.0,1.0
mu[283],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[284],1.207,0.152,0.945,1.54,0.005,0.004,791.0,594.0,1.0
mu[285],1.333,0.199,0.955,1.686,0.008,0.006,652.0,688.0,1.01
mu[286],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[287],1.172,0.174,0.857,1.522,0.006,0.005,717.0,759.0,1.0
mu[288],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[289],1.325,0.195,0.997,1.727,0.007,0.006,834.0,774.0,1.0
mu[290],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[291],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[292],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[293],0.14,0.03,0.083,0.198,0.001,0.001,791.0,730.0,1.0
mu[294],1.278,0.191,0.893,1.641,0.007,0.005,812.0,577.0,1.0
mu[295],0.882,0.134,0.628,1.137,0.005,0.004,824.0,660.0,1.0
mu[296],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[297],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[298],1.134,0.245,0.705,1.639,0.009,0.008,750.0,644.0,1.0
mu[299],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[300],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[301],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[302],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[303],2.033,0.255,1.576,2.55,0.009,0.006,754.0,816.0,1.0
mu[304],1.101,0.161,0.818,1.447,0.006,0.004,765.0,701.0,1.0
mu[305],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
